spread_line,result,normalized_modeled_prob
-13.5,46,0.00%
-13.5,47,0.00%
-13.5,48,0.00%
-13.5,49,0.00%
-13.5,50,0.00%
-13.5,51,0.00%
-13.5,52,0.00%
-13.5,53,0.00%
-13.5,54,0.00%
-13.5,55,0.00%
-13.5,56,0.00%
-13.5,57,0.00%
-13.5,58,0.00%
-13.5,59,0.00%
-13.5,60,0.00%
-13.5,61,0.00%
-13.5,62,0.00%
-13.5,63,0.00%
-13.5,64,0.00%
-13.5,65,0.00%
-13.5,66,0.00%
-13.5,67,0.00%
-13.5,68,0.00%
-13.5,69,0.00%
-13.5,70,0.00%
-13.5,71,0.00%
-13.5,72,0.00%
-13.5,73,0.00%
-13.5,74,0.00%
-13,-75,0.00%
-13,-74,0.00%
-13,-73,0.00%
-13,-72,0.00%
-13,-71,0.00%
-13,-70,0.00%
-13,-69,0.00%
-13,-68,0.00%
-13,-67,0.00%
-13,-66,0.00%
-13,-65,0.00%
-13,-64,0.00%
-13,-63,0.00%
-13,-62,0.00%
-13,-61,0.00%
-13,-60,0.00%
-13,-59,0.00%
-13,-58,0.00%
-13,-57,0.00%
-13,-56,0.00%
-13,-55,0.01%
-13,-54,0.01%
-13,-53,0.01%
-13,-52,0.01%
-13,-51,0.01%
-13,-50,0.01%
-13,-49,0.02%
-13,-48,0.02%
-13,-47,0.03%
-13,-46,0.03%
-13,-45,0.05%
-13,-44,0.30%
-13,-43,0.69%
